"","BUYER_COUNTY","year","countypillcount","countyfips","COUNTY","population","pillsperperson"
"1","ADAIR",2006,694990,"21001",1,18335,37.9050995364058
"2","ADAIR",2007,691730,"21001",1,18493,37.4049640404477
"3","ADAIR",2008,822920,"21001",1,18541,44.3837980691441
"4","ADAIR",2009,897770,"21001",1,17872,50.2333258728738
"5","ADAIR",2010,1033160,"21001",1,18542,55.7199870564125
"6","ADAIR",2011,1212510,"21001",1,18613,65.1431794982002
"7","ADAIR",2012,1189460,"21001",1,18651,63.7745965363787
"8","ADAIR",2013,1152870,"21001",1,18696,61.6639922978177
"9","ADAIR",2014,1087090,"21001",1,19032,57.1190626313577
"10","ALLEN",2006,907500,"21003",3,19272,47.0890410958904
"11","ALLEN",2007,1197400,"21003",3,19540,61.2794268167861
"12","ALLEN",2008,1380430,"21003",3,19838,69.5851396310112
"13","ALLEN",2009,1472600,"21003",3,18799,78.3339539337199
"14","ALLEN",2010,1394630,"21003",3,19688,70.8365501828525
"15","ALLEN",2011,1580200,"21003",3,19866,79.5429376824726
"16","ALLEN",2012,1537890,"21003",3,20007,76.8675963412805
"17","ALLEN",2013,1327190,"21003",3,20123,65.9538836157631
"18","ALLEN",2014,1188000,"21003",3,20219,58.7566150650378
"19","ANDERSON",2006,798600,"21005",5,20519,38.9200253423656
"20","ANDERSON",2007,1018190,"21005",5,20999,48.4875470260489
"21","ANDERSON",2008,1154290,"21005",5,21088,54.7368171471927
"22","ANDERSON",2009,1180110,"21005",5,21122,55.8711296278762
"23","ANDERSON",2010,1194110,"21005",5,21080,56.6465844402277
"24","ANDERSON",2011,1393180,"21005",5,21308,65.382954758776
"25","ANDERSON",2012,1443630,"21005",5,21442,67.3272082828094
"26","ANDERSON",2013,1247190,"21005",5,21575,57.8071842410197
"27","ANDERSON",2014,1139210,"21005",5,21664,52.5853951255539
"28","BALLARD",2006,177980,"21007",7,8204,21.6942954656265
"29","BALLARD",2007,208860,"21007",7,8190,25.5018315018315
"30","BALLARD",2008,270640,"21007",7,8265,32.7453115547489
"31","BALLARD",2009,377200,"21007",7,8181,46.1068329055128
"32","BALLARD",2010,462770,"21007",7,8225,56.263829787234
"33","BALLARD",2011,497700,"21007",7,8235,60.4371584699454
"34","BALLARD",2012,477660,"21007",7,8268,57.7721335268505
"35","BALLARD",2013,459510,"21007",7,8282,55.482975126781
"36","BALLARD",2014,456900,"21007",7,8274,55.221174764322
"37","BARREN",2006,1935650,"21009",9,40857,47.376214602149
"38","BARREN",2007,2414840,"21009",9,41435,58.2801979003258
"39","BARREN",2008,2714020,"21009",9,41797,64.9333684235711
"40","BARREN",2009,3067070,"21009",9,40953,74.8924376724538
"41","BARREN",2010,3515260,"21009",9,41685,84.3291351805206
"42","BARREN",2011,4048156,"21009",9,41961,96.4742498987155
"43","BARREN",2012,4041130,"21009",9,42229,95.6956120201757
"44","BARREN",2013,3832330,"21009",9,42504,90.1639845661585
"45","BARREN",2014,3690940,"21009",9,42691,86.4570986859057
"46","BATH",2006,265610,"21011",11,11558,22.9806194843399
"47","BATH",2007,300690,"21011",11,11470,26.2153443766347
"48","BATH",2008,346500,"21011",11,11647,29.7501502532841
"49","BATH",2009,324000,"21011",11,11597,27.9382598948004
"50","BATH",2010,389890,"21011",11,11565,33.7129269347168
"51","BATH",2011,387100,"21011",11,11605,33.356311934511
"52","BATH",2012,408900,"21011",11,11665,35.0535790827261
"53","BATH",2013,374100,"21011",11,11732,31.8871462666212
"54","BATH",2014,371960,"21011",11,11870,31.3361415332772
"55","BELL",2006,3854060,"21013",13,28960,133.082182320442
"56","BELL",2007,4302690,"21013",13,28794,149.430089602
"57","BELL",2008,4500450,"21013",13,28836,156.070536828964
