County,County Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate
Adair,21001,2006,2006,Suppressed,18335,Suppressed,Suppressed
Adair,21001,2007,2007,Suppressed,18493,Suppressed,Suppressed
Adair,21001,2008,2008,Suppressed,18541,Suppressed,Suppressed
Adair,21001,2009,2009,Suppressed,18729,Suppressed,Suppressed
Adair,21001,2010,2010,Suppressed,18656,Suppressed,Suppressed
Adair,21001,2011,2011,Suppressed,18686,Suppressed,Suppressed
Adair,21001,2012,2012,Suppressed,18675,Suppressed,Suppressed
Adair,21001,2013,2013,Suppressed,18732,Suppressed,Suppressed
Adair,21001,2014,2014,Suppressed,19204,Suppressed,Suppressed
Adair,21001,2015,2015,Suppressed,19027,Suppressed,Suppressed
Adair,21001,2016,2016,Suppressed,19280,Suppressed,Suppressed
Adair,21001,2017,2017,Suppressed,19485,Suppressed,Suppressed
Adair,21001,2018,2018,Suppressed,19215,Suppressed,Suppressed
Adair,21001,2019,2019,Suppressed,19202,Suppressed,Suppressed
Allen,21003,2006,2006,Suppressed,19272,Suppressed,Suppressed
Allen,21003,2007,2007,Suppressed,19540,Suppressed,Suppressed
Allen,21003,2008,2008,Suppressed,19838,Suppressed,Suppressed
Allen,21003,2009,2009,Suppressed,19811,Suppressed,Suppressed
Allen,21003,2010,2010,Suppressed,19956,Suppressed,Suppressed
Allen,21003,2011,2011,Suppressed,20140,Suppressed,Suppressed
Allen,21003,2012,2012,Suppressed,20210,Suppressed,Suppressed
Allen,21003,2013,2013,Suppressed,20311,Suppressed,Suppressed
Allen,21003,2014,2014,Suppressed,20384,Suppressed,Suppressed
Allen,21003,2015,2015,Suppressed,20640,Suppressed,Suppressed
Allen,21003,2016,2016,Suppressed,20631,Suppressed,Suppressed
Allen,21003,2017,2017,Suppressed,20933,Suppressed,Suppressed
Allen,21003,2018,2018,Suppressed,21122,Suppressed,Suppressed
Allen,21003,2019,2019,12,21315,Unreliable,Unreliable
Anderson,21005,2006,2006,Suppressed,20519,Suppressed,Suppressed
Anderson,21005,2007,2007,Suppressed,20999,Suppressed,Suppressed
Anderson,21005,2008,2008,Suppressed,21088,Suppressed,Suppressed
Anderson,21005,2009,2009,Suppressed,21328,Suppressed,Suppressed
Anderson,21005,2010,2010,Suppressed,21421,Suppressed,Suppressed
Anderson,21005,2011,2011,Suppressed,21644,Suppressed,Suppressed
