"","BUYER_COUNTY","countypillcount"
"1","ADAIR",8782500
"2","ALLEN",11985840
"3","ANDERSON",10568510
"4","BALLARD",3389220
"5","BARREN",29259396
"6","BATH",3168750
"7","BELL",39493270
"8","BOONE",65193010
"9","BOURBON",8829280
"10","BOYD",45161760
"11","BOYLE",21161780
"12","BRACKEN",1475170
"13","BREATHITT",13880720
"14","BRECKINRIDGE",8536826.2
"15","BULLITT",27316260
"16","BUTLER",9246400
"17","CALDWELL",10059100
"18","CALLOWAY",19128230
"19","CAMPBELL",43290420
"20","CARLISLE",1951840
"21","CARROLL",7951970
"22","CARTER",12120630
"23","CASEY",5809630
"24","CHRISTIAN",27580050
"25","CLARK",22205010
"26","CLAY",26739980
"27","CLINTON",13489940
"28","CRITTENDEN",10103180
"29","CUMBERLAND",5824850
"30","DAVIESS",51082015
"31","EDMONSON",4148930
"32","ELLIOTT",2360280
"33","ESTILL",9329397
"34","FAYETTE",101942264
"35","FLEMING",6063210
"36","FLOYD",58624580
"37","FRANKLIN",21504060
"38","FULTON",5997700
"39","GALLATIN",2672850
"40","GARRARD",5294300
"41","GRANT",19469140
"42","GRAVES",18359350
"43","GRAYSON",17525040
"44","GREEN",3947460
"45","GREENUP",19707960
"46","HANCOCK",1103980
"47","HARDIN",35339850
"48","HARLAN",20855930
"49","HARRISON",7221370
"50","HART",4672290
"51","HENDERSON",35192950
"52","HENRY",5128650
"53","HICKMAN",1201960
"54","HOPKINS",41262655
"55","JACKSON",6038200
"56","JEFFERSON",395329107
"57","JESSAMINE",21626480
"58","JOHNSON",29452460
"59","KENTON",73716481
"60","KNOTT",6586110
"61","KNOX",17435959
"62","LARUE",5310290
"63","LAUREL",33149450
"64","LAWRENCE",14382660
"65","LEE",9394230
"66","LESLIE",12121568
"67","LETCHER",18584290
"68","LEWIS",4679700
"69","LINCOLN",9633140
"70","LIVINGSTON",7251690
"71","LOGAN",9931520
"72","LYON",4600110
"73","MADISON",39159931
"74","MAGOFFIN",5446480
"75","MARION",9155640
"76","MARSHALL",17851700
"77","MARTIN",6559510
"78","MASON",8377320
"79","MCCRACKEN",62103946
"80","MCCREARY",10229392
"81","MCLEAN",2488460
"82","MEADE",7416840
"83","MENIFEE",2114130
"84","MERCER",9564855
"85","METCALFE",2696100
"86","MONROE",8226590
"87","MONTGOMERY",19767690
"88","MORGAN",5180430
"89","MUHLENBERG",23488540
"90","NELSON",21070050
"91","NICHOLAS",2131970
"92","OHIO",14637480
"93","OLDHAM",15992170
"94","OWEN",3317130
"95","OWSLEY",5237720
"96","PENDLETON",3321720
"97","PERRY",45914245
"98","PIKE",84483850
"99","POWELL",8341720
"100","PULASKI",37653400
"101","ROCKCASTLE",15693610
"102","ROWAN",10502750
"103","RUSSELL",12038690
"104","SCOTT",19130860
"105","SHELBY",16264090
"106","SIMPSON",10826640
"107","SPENCER",5092220
"108","TAYLOR",12047790
"109","TODD",4522920
"110","TRIGG",6383124
"111","TRIMBLE",1584380
"112","UNION",11007670
"113","WARREN",49662998
"114","WASHINGTON",2526710
"115","WAYNE",12181128
"116","WEBSTER",7555520
"117","WHITLEY",60238979
"118","WOLFE",6528070
"119","WOODFORD",7225910
"120",NA,0
